event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
5,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,13.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1
84,0,0,0,0,0,1.0645555555555555,2.271,2,8,4,0,0,0,12,0,0,32,0,0,7,0,0,14,0,0,31,0,113.33555555555556,0,0,0,0,6,0,0,0,0,0,44,0,3,25,0,6,0,0,0,0
11,0,0,0,0,0,1.7409999999999999,3.141,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,4,0,21.881999999999998,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
108,0,0,1,0,0,1.8535625,4.044,0,5,4,1,1,0,12,0,0,0,0,0,61,0,0,15,0,4,29,0,138.8975625,0,0,0,0,0,0,0,0,0,0,46,0,0,55,0,7,0,0,0,1
55,1,0,0,0,0,2.2232857142857143,3.635,1,2,2,2,2,2,0,0,0,19,0,0,19,0,0,3,0,0,14,0,71.85828571428571,0,0,0,0,4,0,0,0,0,0,17,0,0,28,0,6,0,0,0,0
83,0,0,0,0,0,1.858111111111111,3.939,0,3,1,2,2,1,2,0,0,0,0,0,0,0,0,10,38,0,41,0,105.79711111111111,0,0,0,0,0,0,0,0,0,0,37,0,0,35,0,17,0,0,0,0
72,0,0,0,0,0,2.5275,3.531,0,4,4,0,0,0,3,0,0,53,0,0,0,0,0,9,0,0,12,0,91.05850000000001,0,0,0,0,0,0,0,0,0,0,29,0,0,45,0,0,0,0,0,0
43,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,21,0,0,22,0,59.882,0,0,0,2,0,0,0,0,0,1,35,0,0,0,0,5,0,0,0,0
28,0,0,0,0,0,1.2910000000000001,2.157,0,1,1,0,0,0,2,0,0,17,0,0,0,0,0,6,0,0,5,0,35.448,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0
463,0,0,0,0,0,0.9794814814814814,2.358,0,21,20,0,0,0,10,0,0,0,0,0,320,0,0,19,0,0,124,0,517.3374814814815,0,0,0,0,0,0,0,0,0,0,150,0,0,261,0,52,0,0,0,0
226,0,0,0,0,0,4.9482608695652175,21.639,1,1,1,6,6,0,0,0,0,0,0,0,185,0,0,1,0,0,40,0,267.5872608695652,0,0,0,0,4,0,21,0,0,0,20,0,0,174,0,2,0,0,0,5
467,0,0,0,0,1,3.725547945205479,40.163,0,0,0,2,2,0,0,0,0,296,0,0,0,0,0,58,0,0,171,0,573.8885479452055,0,0,0,0,0,0,0,0,0,0,180,0,0,296,0,47,0,0,0,2
30,0,0,0,0,0,1.2770000000000001,1.344,0,1,1,0,0,0,3,0,0,0,0,0,14,0,0,12,0,0,4,0,37.621,0,0,0,0,0,0,0,0,0,0,19,0,0,11,0,0,0,0,0,0
161,0,0,0,0,0,1.14771875,1.636,6,7,0,2,2,0,11,0,3,4,0,0,53,0,0,15,19,27,40,0,191.78371875,0,0,0,0,19,0,2,0,0,0,39,0,9,77,0,8,5,0,0,2
292,0,0,0,0,0,15.41945238095238,75.849,3,17,16,5,5,1,0,0,4,0,0,0,202,0,0,0,0,0,86,0,430.2684523809524,0,0,0,0,8,0,6,0,0,0,88,0,4,164,0,16,1,0,0,5
3,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0.261,0.261,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,6,0,16.522,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1139,0,0,0,0,0,2.1736885964912283,11.632,0,21,18,2,2,1,9,0,0,0,0,0,850,0,0,20,0,6,263,0,1205.805688596491,0,0,0,0,0,0,0,0,0,0,146,0,0,818,0,173,0,0,0,2
140,0,0,0,0,0,3.3752105263157897,9.063,15,3,3,1,1,0,0,0,0,3,0,0,76,0,1,4,0,0,53,3,175.4382105263158,0,0,0,0,54,0,5,0,0,0,40,0,4,18,0,16,2,0,0,1
59,0,0,0,0,0,1.1947142857142856,2.03,0,3,3,0,0,0,1,0,0,33,0,0,0,0,0,2,9,0,15,0,69.22471428571428,0,0,0,0,0,0,0,0,0,0,22,0,0,33,0,4,0,0,0,0
321,0,0,0,0,1,1.2954772727272728,2.352,3,31,15,0,0,0,9,0,0,57,0,0,73,0,0,14,0,0,149,28,383.64747727272726,0,0,0,0,11,0,3,0,0,0,136,0,0,113,0,58,0,0,0,0
408,0,0,0,0,0,0.6897407407407408,2.012,47,25,21,4,4,0,0,0,21,81,0,0,17,40,0,2,21,23,174,30,512.7017407407408,0,0,0,0,159,28,0,0,0,0,142,0,0,34,0,44,0,0,0,2
22,0,0,1,0,0,1.7409999999999999,3.141,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,16,0,31.881999999999998,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,1.284,3.478,8,1,1,0,0,0,12,0,3,3,0,0,3,3,0,16,35,3,11,3,106.762,0,0,0,0,28,0,1,0,0,0,25,0,0,23,0,0,3,0,0,0
86,0,0,1,0,0,0.8976666666666667,1.518,1,11,2,0,0,0,12,0,0,13,0,0,23,0,0,16,0,0,34,0,115.41566666666667,0,0,0,0,3,0,2,0,0,0,49,0,0,27,0,5,0,0,0,0
244,0,0,1,0,0,1.843655172413793,6.304,0,41,14,0,0,0,0,0,0,24,0,0,24,42,0,1,0,12,135,6,308.1476551724138,0,0,0,0,0,0,0,0,0,0,131,0,0,79,0,34,0,0,0,0
4,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,8.882,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0.5465,0.653,1,2,1,0,0,0,9,0,0,0,0,0,5,0,0,16,0,0,16,0,51.1995,0,0,0,0,3,0,5,0,0,0,28,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,1.575,1.575,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,4,0,20.15,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0
293,0,0,0,0,0,4.288549019607843,29.697,0,16,15,0,0,0,0,0,0,47,0,0,52,0,0,1,46,51,58,38,357.98554901960784,0,0,0,0,0,0,0,0,0,0,72,0,0,204,0,17,0,0,0,0
26,0,0,0,0,0,1.7409999999999999,3.141,0,2,4,0,0,0,0,0,0,2,0,0,2,2,0,1,0,2,17,0,36.882,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0
33,0,0,0,0,0,2.0335,2.247,0,1,1,1,1,0,0,0,0,24,0,0,0,0,0,2,0,0,7,0,41.2805,0,0,0,0,0,0,0,0,0,0,11,0,0,21,0,1,0,0,0,0
547,0,0,0,1,0,1.8837176470588237,5.469,0,15,14,4,4,0,10,0,0,0,0,0,252,0,0,12,219,0,64,0,602.3527176470589,0,0,0,0,0,0,0,0,0,0,89,0,0,438,2,16,0,0,0,2
72,0,0,0,0,0,1.6525,3.262,1,2,1,0,0,0,12,0,0,35,0,0,1,0,0,17,0,0,21,0,94.9145,0,0,0,0,4,0,9,0,0,0,27,0,6,24,0,2,2,0,0,0
14,0,0,0,0,0,1.7409999999999999,3.141,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,20.881999999999998,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0
73,0,0,0,0,0,1.4894666666666665,2.21,0,3,2,0,0,0,0,0,0,58,0,0,0,0,0,2,0,0,13,0,81.69946666666667,0,0,0,0,0,0,0,0,0,0,16,0,0,54,0,3,0,0,0,0
164,0,0,0,0,0,2.563642857142857,12.414,5,13,12,0,0,0,12,0,0,0,0,0,36,0,0,14,51,0,63,0,220.97764285714285,0,0,0,0,15,0,0,0,0,0,86,0,0,39,0,24,0,0,0,0
63,0,0,0,0,1,1.7725,2.096,0,2,1,6,5,0,12,0,0,22,0,0,0,0,0,16,0,0,25,0,93.8685,0,0,0,0,0,0,0,0,0,0,36,0,0,19,0,2,0,0,0,6
176,0,0,0,0,0,6.0948400000000005,33.705,0,15,7,0,0,0,12,0,0,44,0,0,49,0,1,14,0,0,68,0,249.79984,0,0,0,0,0,0,0,0,0,0,83,0,0,71,0,22,0,0,0,0
54,0,0,0,0,0,3.7597500000000004,10.951,0,1,1,6,6,0,0,0,0,18,0,0,1,0,0,1,0,0,34,0,82.71075,0,0,0,0,0,0,0,0,0,0,32,0,0,16,0,0,0,0,0,6
20,0,0,1,0,0,1.7409999999999999,3.141,0,2,0,0,0,0,1,0,0,0,0,0,1,0,1,4,0,0,14,0,28.881999999999998,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0
107,0,0,0,0,0,1.4902857142857144,1.768,0,7,3,0,0,0,1,0,0,74,0,0,0,0,0,3,0,0,30,0,121.25828571428572,0,0,0,0,0,0,0,0,0,0,32,0,0,65,0,10,0,0,0,0
57,0,0,0,0,0,2.092166666666667,2.555,2,3,1,0,0,0,2,0,0,10,0,0,0,0,1,5,0,0,41,0,69.64716666666666,0,0,0,0,6,0,12,0,0,0,26,0,4,0,0,7,2,0,0,0
32,0,0,0,0,0,0.9781666666666666,1.711,0,3,1,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,9,0,38.689166666666665,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,2,0,0,0,0
145,0,0,0,0,0,1.1351666666666667,2.626,1,5,5,2,2,0,2,0,0,5,0,0,14,22,2,9,0,4,89,0,165.76116666666667,0,0,0,0,3,33,4,0,0,0,43,0,4,21,0,21,16,0,0,0
68,0,0,0,0,0,3.398857142857143,6.348,0,5,5,0,0,0,12,0,0,7,0,0,6,0,0,14,9,7,16,9,99.74685714285715,0,0,0,0,0,0,0,0,0,0,39,0,0,28,0,1,0,0,0,0
3,1,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,7.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,3.2196875,15.578,21,9,9,0,0,0,3,0,3,5,0,0,22,0,0,7,3,0,60,89,249.7976875,0,0,0,0,79,0,11,0,0,0,54,0,11,18,0,12,3,0,1,0
13,0,0,1,0,0,1.7409999999999999,3.141,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,8,0,21.881999999999998,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
